replay_buffer/size,trainer/QF Loss,trainer/Y Predictions Mean,trainer/Y Predictions Std,trainer/Y Predictions Max,trainer/Y Predictions Min,exploration/num steps total,exploration/num paths total,exploration/path length Mean,exploration/path length Std,exploration/path length Max,exploration/path length Min,exploration/Rewards Mean,exploration/Rewards Std,exploration/Rewards Max,exploration/Rewards Min,exploration/Returns Mean,exploration/Returns Std,exploration/Returns Max,exploration/Returns Min,exploration/Actions Mean,exploration/Actions Std,exploration/Actions Max,exploration/Actions Min,exploration/Num Paths,exploration/Average Returns,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,time/data storing (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/saving (s),time/training (s),time/epoch (s),time/total (s),Epoch
2000,0.9960857,0.0007495569,0.00081231154,0.0016640943,-0.0017731605,2000,204,9.70873786407767,1.1027861270275254,13,6,1.0,0.0,1.0,1.0,9.70873786407767,1.1027861270275254,13.0,6.0,0.962,0.19119623427254,1,0,103,9.70873786407767,4998,534,9.359550561797754,0.7606500917309128,11,8,1.0,0.0,1.0,1.0,9.359550561797754,0.7606500917309128,11.0,8.0,1.0,0.0,1,1,534,9.359550561797754,0.004815902999325772,0.5159711399992375,0.10150062600041565,0.009010708999994677,0.0031573340002069017,0.8785058470002696,1.51296155899945,1.6342154270005267,0
3000,0.013356854,1.4057102,0.06120503,1.5223436,1.254634,3000,305,9.900990099009901,1.214638034295574,14,8,1.0,0.0,1.0,1.0,9.900990099009901,1.214638034295574,14.0,8.0,0.952,0.21376622745419818,1,0,101,9.900990099009901,9995,1067,9.375234521575985,0.7759918856135621,11,8,1.0,0.0,1.0,1.0,9.375234521575985,0.7759918856135621,11.0,8.0,1.0,0.0,1,1,533,9.375234521575985,0.00464739899871347,0.4883606419989519,0.10116644400113728,0.008933135000916081,0.0030219759992178297,0.8465125340007944,1.452642129999731,3.088725838002574,1
4000,0.05694236,1.9960175,0.27540407,2.6096463,1.392053,4000,362,17.54385964912281,3.690053845651904,38,9,1.0,0.0,1.0,1.0,17.54385964912281,3.690053845651904,38.0,9.0,0.511,0.49987898535545583,1,0,57,17.54385964912281,14982,1359,17.078767123287673,2.377972801442139,22,13,1.0,0.0,1.0,1.0,17.078767123287673,2.377972801442139,22.0,13.0,0.5007018247443352,0.4999995074417857,1,0,292,17.078767123287673,0.0046339210002770415,0.47714018000078795,0.10010453399991093,0.0075717260006058495,0.003096050999374711,0.8458939559986902,1.4384403679996467,4.529003218000071,2
5000,0.46603337,2.9739852,0.71356905,5.077139,1.5876391,5000,465,9.70873786407767,1.2038051963263134,13,3,1.0,0.0,1.0,1.0,9.70873786407767,1.2038051963263134,13.0,3.0,0.049,0.21586801523152982,1,0,103,9.70873786407767,19977,1894,9.336448598130842,0.7481306951846542,11,8,1.0,0.0,1.0,1.0,9.336448598130842,0.7481306951846542,11.0,8.0,0.0,0.0,0,0,535,9.336448598130842,0.004701511999883223,0.48670946700076456,0.10151662600037525,0.008939358000134234,0.0030663910001749173,0.8489715550003893,1.4539049090017215,5.98455961700347,3
6000,0.29628468,3.6618838,0.62049943,5.178192,2.0140803,6000,474,111.11111111111111,44.79941578102317,200,19,1.0,0.0,1.0,1.0,111.11111111111111,44.79941578102317,200.0,19.0,0.511,0.49987898535545583,1,0,9,111.11111111111111,24895,1932,129.42105263157896,30.952962258500836,200,91,1.0,0.0,1.0,1.0,129.42105263157896,30.952962258500836,200.0,91.0,0.5012200081333875,0.49999851157793906,1,0,38,129.42105263157896,0.004474155000934843,0.46223866199943586,0.09737193199907779,0.005926411000473308,0.003055111999856308,0.8525639880008384,1.4256302600006165,7.41193998500421,4
7000,0.54735255,4.5292807,0.7567844,6.0176806,2.4666204,7000,488,71.42857142857143,14.66635744881211,108,42,1.0,0.0,1.0,1.0,71.42857142857143,14.66635744881211,108.0,42.0,0.474,0.4993235424051224,1,0,14,71.42857142857143,29848,2005,67.84931506849315,11.934376768224528,111,50,1.0,0.0,1.0,1.0,67.84931506849315,11.934376768224528,111.0,50.0,0.4663840096910963,0.4988686853226525,1,0,73,67.84931506849315,0.004642275998776313,0.4718431090004742,0.09741476500130375,0.006091391998779727,0.0030867790010233875,0.8504139589986153,1.4334922799989727,8.846840598002018,5
8000,0.49323145,5.2271714,1.0182357,7.1047173,2.3280404,8000,500,83.33333333333333,39.44053188733078,196,58,1.0,0.0,1.0,1.0,83.33333333333333,39.44053188733078,196.0,58.0,0.485,0.49977494935220584,1,0,12,83.33333333333333,34827,2070,76.6,24.270780152907516,163,44,1.0,0.0,1.0,1.0,76.6,24.270780152907516,163.0,44.0,0.47278569993974695,0.4992588325430312,1,0,65,76.6,0.004449668000233942,0.4684522349998588,0.09680093399947509,0.0060672079998767,0.003067397999984678,0.8614099280002847,1.440247370999714,10.288536668000233,6
9000,0.6390651,6.070192,1.3075684,8.639715,2.3150206,9000,513,76.92307692307692,14.461947621053081,108,51,1.0,0.0,1.0,1.0,76.92307692307692,14.461947621053081,108.0,51.0,0.489,0.4998789853554558,1,0,13,76.92307692307692,39786,2128,85.5,25.790435275972715,200,51,1.0,0.0,1.0,1.0,85.5,25.790435275972715,200.0,51.0,0.48981649526114135,0.4998962854745308,1,0,58,85.5,0.004589027999827522,0.46970018499996513,0.0991668970000319,0.006008871998346876,0.0030752900001971284,0.8574090889997024,1.439949360998071,11.729888697002025,7
10000,0.31145883,6.98194,1.5990528,9.99485,2.1914673,10000,527,71.42857142857143,31.28604044187459,161,13,1.0,0.0,1.0,1.0,71.42857142857143,31.28604044187459,161.0,13.0,0.513,0.49983097142934235,1,0,14,71.42857142857143,44724,2184,88.17857142857143,24.76540440013126,159,53,1.0,0.0,1.0,1.0,88.17857142857143,24.76540440013126,159.0,53.0,0.4995949777237748,0.4999998359569288,1,0,56,88.17857142857143,0.0044357000006129965,0.46881009000026097,0.09734854400085169,0.005986588999803644,0.003084124000451993,0.8586134919987671,1.4382785390007484,13.169595929000934,8
11000,0.6995846,7.8508015,1.6644832,11.194679,2.6398256,11000,539,83.33333333333333,25.872550877114705,138,44,1.0,0.0,1.0,1.0,83.33333333333333,25.872550877114705,138.0,44.0,0.507,0.4999509975987647,1,0,12,83.33333333333333,49680,2248,77.4375,27.659692582348054,178,45,1.0,0.0,1.0,1.0,77.4375,27.659692582348054,178.0,45.0,0.5046408393866021,0.4999784621459086,1,0,64,77.4375,0.00445853199926205,0.4726147960009257,0.09839109300082782,0.006034227000782266,0.0030868049998389324,0.8572734589997708,1.4418589120014076,14.612866732002658,9
12000,0.74145216,8.845573,1.9438512,12.488255,2.4311655,12000,554,66.66666666666667,22.755707464770726,113,16,1.0,0.0,1.0,1.0,66.66666666666667,22.755707464770726,113.0,16.0,0.513,0.49983097142934235,1,0,15,66.66666666666667,54651,2321,68.0958904109589,20.897770991815044,133,36,1.0,0.0,1.0,1.0,68.0958904109589,20.897770991815044,133.0,36.0,0.5117682558841279,0.4998614889681397,1,0,73,68.0958904109589,0.004525063999608392,0.4721686890006822,0.09723822900014056,0.006128099001216469,0.003475824001725414,0.860340670998994,1.443876576002367,16.058144124001046,10
13000,0.85592335,9.746107,2.0070372,13.05046,2.2837572,13000,571,58.8235294117647,26.135923652901795,141,13,1.0,0.0,1.0,1.0,58.8235294117647,26.135923652901795,141.0,13.0,0.515,0.49977494935220584,1,0,17,58.8235294117647,59595,2410,55.550561797752806,19.24823717943656,139,33,1.0,0.0,1.0,1.0,55.550561797752806,19.24823717943656,139.0,33.0,0.5198220064724919,0.49960693355817676,1,0,89,55.550561797752806,0.004633181999452063,0.47134222900058376,0.09899826999935613,0.006204248000358348,0.0031093790003069444,0.8649891340010072,1.4492764420010644,17.508849226001985,11
14000,1.4383957,10.510347,2.1685812,14.650732,2.986448,14000,584,76.92307692307692,23.269198982813634,120,35,1.0,0.0,1.0,1.0,76.92307692307692,23.269198982813634,120.0,35.0,0.509,0.4999189934379369,1,0,13,76.92307692307692,64564,2472,80.14516129032258,23.66557781591403,141,45,1.0,0.0,1.0,1.0,80.14516129032258,23.66557781591403,141.0,45.0,0.5063393036828335,0.4999598116137104,1,0,62,80.14516129032258,0.004576388999339542,0.4780642830010038,0.09836052600076073,0.006056270998669788,0.003088205001404276,0.9060769990010158,1.496222673002194,19.00652426600209,12
15000,1.2416883,11.016054,2.4652855,14.929068,2.1659255,15000,594,100.0,44.9510845252926,169,21,1.0,0.0,1.0,1.0,100.0,44.9510845252926,169.0,21.0,0.486,0.4998039615689336,1,0,10,100.0,69538,2523,97.52941176470588,37.43719076794032,200,59,1.0,0.0,1.0,1.0,97.52941176470588,37.43719076794032,200.0,59.0,0.4867310012062726,0.49982390266073906,1,0,51,97.52941176470588,0.004665221000323072,0.4740206450005644,0.1001332010000624,0.005960447000688873,0.0031132799995248206,0.8835024179988977,1.4713952120000613,20.47935845500251,13
16000,1.8795475,11.947586,2.3864012,15.118736,2.8275568,16000,604,100.0,40.8166632639171,200,31,1.0,0.0,1.0,1.0,100.0,40.8166632639171,200.0,31.0,0.475,0.4993746088859544,1,0,10,100.0,74528,2563,124.75,32.80529682840867,200,74,1.0,0.0,1.0,1.0,124.75,32.80529682840867,200.0,74.0,0.49158316633266536,0.49992915189156195,1,0,40,124.75,0.004489524999371497,0.4691976260000956,0.09711169999900449,0.006005864999679034,0.0030745889998797793,0.8641026969999075,1.443982001997938,21.924742775003324,14
17000,1.8725214,12.790434,2.21148,15.885035,4.4857574,17000,610,166.66666666666666,34.494766108627104,200,108,1.0,0.0,1.0,1.0,166.66666666666666,34.494766108627104,200.0,108.0,0.497,0.4999909999189985,1,0,6,166.66666666666666,79475,2593,164.9,33.96601242418662,200,108,1.0,0.0,1.0,1.0,164.9,33.96601242418662,200.0,108.0,0.49747321609055994,0.49999361532231085,1,0,30,164.9,0.004668486000809935,0.46833062500081724,0.09832040700166544,0.0058772029988176655,0.003067335999730858,0.8611619129987957,1.4414259700006369,23.3675684560003,15
18000,2.2429357,13.229893,2.679688,16.829565,2.4813519,18000,616,166.66666666666666,45.67883049680186,200,71,1.0,0.0,1.0,1.0,166.66666666666666,45.67883049680186,200.0,71.0,0.517,0.49971091643068993,1,0,6,166.66666666666666,84384,2620,181.8148148148148,23.14533316217178,200,133,1.0,0.0,1.0,1.0,181.8148148148148,23.14533316217178,200.0,133.0,0.5108983499694438,0.49988121185732065,1,0,27,181.8148148148148,0.004730287999336724,0.4725205790000473,0.10092390099998738,0.005891424998480943,0.003095665999353514,0.8715318049999041,1.45869366399711,24.827649817998463,16
19000,1.205941,14.394624,2.741968,19.427334,4.1836834,19000,623,142.85714285714286,34.186165002103124,192,75,1.0,0.0,1.0,1.0,142.85714285714286,34.186165002103124,192.0,75.0,0.53,0.49909918853871116,1,0,7,142.85714285714286,89222,2653,146.6060606060606,14.524669492801369,200,123,1.0,0.0,1.0,1.0,146.6060606060606,14.524669492801369,200.0,123.0,0.538238941711451,0.49853563898360187,1,0,33,146.6060606060606,0.00444602199968358,0.4720583229991462,0.09682309799973154,0.005842769000082626,0.005004571999961627,0.8644063399988227,1.4485811239974282,26.27795935699578,17
20000,2.641337,15.070168,2.6876006,19.157036,3.1263156,20000,629,166.66666666666666,28.528737947706148,200,116,1.0,0.0,1.0,1.0,166.66666666666666,28.528737947706148,200.0,116.0,0.53,0.4990991885387111,1,0,6,166.66666666666666,94135,2681,175.46428571428572,12.190400622905663,200,153,1.0,0.0,1.0,1.0,175.46428571428572,12.190400622905663,200.0,153.0,0.5324648890698148,0.498944917779192,1,0,28,175.46428571428572,0.004623847000402748,0.473278935000053,0.10016572600034124,0.005932045998633839,0.0034421439995639957,0.8820737120004196,1.4695164099994145,27.74916507099806,18
21000,1.7933906,15.550007,2.9343717,19.691265,4.2563214,21000,636,142.85714285714286,34.36122636855414,172,64,1.0,0.0,1.0,1.0,142.85714285714286,34.36122636855414,172.0,64.0,0.539,0.49847667949463786,1,0,7,142.85714285714286,98991,2713,151.75,10.57709790065309,175,131,1.0,0.0,1.0,1.0,151.75,10.57709790065309,175.0,131.0,0.5450988467874794,0.49796194033122604,1,0,32,151.75,0.004618789000232937,0.47998091299996304,0.09657651000088663,0.005965087000731728,0.0034973540005012183,0.870531946000483,1.4611705990027986,29.212554186999114,19
22000,4.1025853,16.448738,3.337924,20.595299,3.4609885,22000,643,142.85714285714286,42.01506046791375,172,42,1.0,0.0,1.0,1.0,142.85714285714286,42.01506046791375,172.0,42.0,0.541,0.498316164698678,1,0,7,142.85714285714286,103983,2745,156.0,9.912113800799505,180,139,1.0,0.0,1.0,1.0,156.0,9.912113800799505,180.0,139.0,0.5412660256410257,0.4982942053925514,1,0,32,156.0,0.004603498999131261,0.4723434330007876,0.09736574899943662,0.005939565000517177,0.0031085440004972043,0.8671673480002937,1.4505281380006636,30.664757401000315,20
23000,3.2801306,16.878368,3.706981,22.363115,1.948781,23000,651,125.0,35.7980446393375,149,31,1.0,0.0,1.0,1.0,125.0,35.7980446393375,149.0,31.0,0.541,0.498316164698678,1,0,8,125.0,108864,2779,143.55882352941177,7.967548801860871,161,128,1.0,0.0,1.0,1.0,143.55882352941177,7.967548801860871,161.0,128.0,0.5400532677729973,0.49839315378594895,1,0,34,143.55882352941177,0.004639491999114398,0.46831469099925016,0.09702944099990418,0.005814828999064048,0.0030657959996460704,0.8564437750010256,1.4353080239980045,32.10175233500195,21
24000,1.731193,17.816908,3.666031,21.965387,1.6538434,24000,659,125.0,40.86869217383889,150,18,1.0,0.0,1.0,1.0,125.0,40.86869217383889,150.0,18.0,0.543,0.4981475684975286,1,0,8,125.0,113821,2815,137.69444444444446,6.915439427045531,156,128,1.0,0.0,1.0,1.0,137.69444444444446,6.915439427045531,156.0,128.0,0.5448860197700222,0.4979811695528307,1,0,36,137.69444444444446,0.004577752999466611,0.46739408900066337,0.09674127700054669,0.006310924998615519,0.0034895209992100717,0.9456320760000381,1.5241456409985403,33.62754618100007,22
25000,2.4987512,18.814537,4.026352,23.669981,1.5717821,25000,667,125.0,25.947061490658243,144,58,1.0,0.0,1.0,1.0,125.0,25.947061490658243,144.0,58.0,0.544,0.4980602373207482,1,0,8,125.0,118759,2851,137.16666666666666,5.649483752226098,150,125,1.0,0.0,1.0,1.0,137.16666666666666,5.649483752226098,150.0,125.0,0.5419198055893074,0.49823963100033974,1,0,36,137.16666666666666,0.004667098999561858,0.47513816300124745,0.10056738599996606,0.005871909999768832,0.0030786179995629936,0.8793340090014681,1.4686571850015753,35.09760428700065,23
26000,2.731707,19.169392,4.422261,25.108747,2.543549,26000,675,125.0,20.03746490951388,140,73,1.0,0.0,1.0,1.0,125.0,20.03746490951388,140.0,73.0,0.549,0.49759320734913576,1,0,8,125.0,123698,2890,126.64102564102564,5.916024217141447,139,114,1.0,0.0,1.0,1.0,126.64102564102564,5.916024217141447,139.0,114.0,0.5525410002024701,0.4972317802571795,1,0,39,126.64102564102564,0.004746291000628844,0.47396739500072727,0.09806864399979531,0.005868899999768473,0.0031155990000115708,0.8710693299999548,1.4568361590008863,36.55580994800039,24
27000,2.7486763,20.0975,4.5843997,26.461584,1.7498249,27000,684,111.11111111111111,37.30488333968697,136,7,1.0,0.0,1.0,1.0,111.11111111111111,37.30488333968697,136.0,7.0,0.552,0.4972886485734417,1,0,9,111.11111111111111,128697,2929,128.17948717948718,6.830819280635919,143,116,1.0,0.0,1.0,1.0,128.17948717948718,6.830819280635919,143.0,116.0,0.5529105821164233,0.4971925887421304,1,0,39,128.17948717948718,0.004555327999696601,0.4696248670006753,0.0974472310008423,0.00593933199888852,0.003070660999583197,0.8602118809994863,1.4408492999991722,37.99813319199711,25
28000,3.7937193,20.646095,4.8138375,26.930748,1.612234,28000,692,125.0,18.35755975068582,142,80,1.0,0.0,1.0,1.0,125.0,18.35755975068582,142.0,80.0,0.548,0.4976906669810074,1,0,8,125.0,133618,2966,133.0,5.699691788727394,144,122,1.0,0.0,1.0,1.0,133.0,5.699691788727394,144.0,122.0,0.550091444828287,0.49748451951293376,1,0,37,133.0,0.004780064000442508,0.4690886060016055,0.09854016600002069,0.005894940000871429,0.0032962029999907827,0.9011622329999227,1.4827622120028536,39.482401032999405,26
